Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Work Ratio,Security Level,Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Request Type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Final Effort Assessment),Custom field (Fugue CLI Version),Custom field (Impact),Custom field (Luminal Team),Custom field (Organizations),Custom field (Parent Link),Custom field (Raised During),Custom field (Rank),Custom field (Request participants),Satisfaction rating,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Validator gets lists of running processes/compositions,FUGUE-5127,32904,,Task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,joshe,tyler,tyler,04/Apr/17 3:54 PM,04/May/17 2:51 PM,09/May/17 6:48 PM,,,r28,,,0,,,,,"When new validations are uploaded, the validator must compare it against all compositions for existing processes.

We will need a scheduler client that returns process information for all existing processes (in any state). This can be a generic client, but the most important part that is needed is the snapshot location.

The list of snapshots just needs to be provided in the validator and everything else should be good to go!

Validator: https://github.com/LuminalHQ/fugue-ludwig-validator/blob/4896f60706d6681a710ad959847b9f110c55cf64/validation/post.go#L76",,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,FUGUE-3225,,,,,,LRT Team,,,,2|hzytuu:000000r000000000000m,,,Sprint 29,,,,,5.0,,,Not started,,,,,,,,,,,,,,,,,
Test and integrate validator CLI components,FUGUE-5128,32905,,Task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,tyler,tyler,tyler,04/Apr/17 3:57 PM,04/May/17 4:15 PM,09/May/17 6:48 PM,,,r28,,,0,,,,,"PRs for the validator CLI components exist:
https://github.com/LuminalHQ/fugue-cli-python/pull/357
https://github.com/LuminalHQ/fugue-cli-python/pull/358
https://github.com/LuminalHQ/fugue-cli-python/pull/359
https://github.com/LuminalHQ/fugue-cli-python/pull/360
https://github.com/LuminalHQ/fugue-cli-python/pull/363

Need to confirm that these work and integrate them.

Summary of commands and their overall action are below. Please refer to the library reference: https://github.com/LuminalHQ/fugue-ludwig-validator-client-python

h2. Create

Takes a Ludwig file that is a validation and compiles it using the {{-s snapshot}} backend, writes the file to S3, and sends a message to demarc to create the validation.

FUGUE-3269

h2. Get

Get takes a validation name and local location to store the validation (a {{.tar.gz}}). The CLI should also generate a random S3 URI where a copy of the snapshot should be stored. The CLI should download the file from S3 to the desired location. Upon finishing the download, the CLI should delete the validation copy from S3.

FUGUE-4714

h2. List

List takes in a prefix to filter validations. The CLI should display a list of validations. The metadata contained in the list is pretty old and is worth revisiting from a UI/UX perspective.

FUGUE-3383

h2. Delete

Delete takes a validation name and deletes it.

FUGUE-3270

h2. Validate Compositions

This is already handled through {{fugue run}}.

h2. Existing commands

Be sure to check the user stories for {{fugue run}} and {{fugue update}}.

FUGUE-3275
FUGUE-3277",,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,FUGUE-3225,,,,,,LRT Team,,,,2|i003kq:6hzg,,,Sprint 29,,,,,8.0,,,Not started,,,,,,,,,,,,,,,,,
Create scheduler client for getting processes in Go,FUGUE-5139,32917,32904,Sub-task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,joshe,tyler,tyler,04/Apr/17 4:54 PM,04/May/17 2:16 PM,09/May/17 6:48 PM,,,,,,0,,,,,,,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i008fa:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Integrate scheduler client into the validator,FUGUE-5140,32918,32904,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,tyler,tyler,04/Apr/17 4:55 PM,04/Apr/17 4:55 PM,09/May/17 6:48 PM,,,,,,0,,,,,,,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,2|i008fi:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Implement the remaining parts of RFC-0003,FUGUE-5285,33123,,Task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,jasper,jasper,06/Apr/17 12:13 PM,28/Apr/17 1:12 PM,09/May/17 6:48 PM,,,,Ludwig Language & Compiler,,0,ludwig_language_design,,,,"We already represent tuples as records in the compiler, but we don't yet allow polymorphic accessors such as {{_2}}.",,jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,Toolchain Team,,,,2|hzytuu:000000r0000000011zzzzzzzv,,,Sprint 29,,,,,5.0,,,Not started,,,,,,,,,,,,,,,,,
Fix pretty-printing of values,FUGUE-5288,33200,,Task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,brett,jasper,jasper,07/Apr/17 7:12 AM,08/May/17 11:19 AM,09/May/17 6:48 PM,,,,Ludwig Language & Compiler,,0,ludwig_error_messages,,,,"Right now, we are sometimes leaking internal info by printing values using {{Show}}, e.g.:

{noformat}
  Couldn't match: Val {unVal = ListV [Val {unVal = SumConV (SumCon {scStableName = Just (Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = []}, nIsGenerated = True, nOccName = OccName {onNamespace = VarNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = VarName, onUnqualified = ""$heap$suite$AppCookieStickiness$0""}}), scMetaName = Nothing, scConstructor = Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = [""Fugue"",""Core"",""AWS"",""ELB""]}, nIsGenerated = False, nOccName = OccName {onNamespace = VarNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = ConName, onUnqualified = ""AppCookieStickiness""}}, scField = Just (Val {unVal = StructV Nothing (fromList [(Key {unKey = ""appCookieName""},Val {unVal = StringV ""sticky-business""})])}), scTypeName = Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = [""Fugue"",""Core"",""AWS"",""ELB""]}, nIsGenerated = False, nOccName = OccName {onNamespace = TypeNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = TypeName, onUnqualified = ""LoadBalancerPolicy""}}, scStackTrace = [PrimitiveFrame (Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = [""Fugue"",""Core"",""AWS"",""ELB""]}, nIsGenerated = False, nOccName = OccName {onNamespace = VarNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = ConName, onUnqualified = ""AppCookieStickiness""}}) (Metadata {metaSnippet = Snippet {sModulePointer = ModulePointer {mpName_ = ModuleName {unModuleName = []}, mpPrettyPath_ = ""tests/unit/TestListener.lw"", mpCanonicalPath_ = ""/Users/chris/src/fugue/fugue-aws/tests/unit/TestListener.lw""}, sStart = Position {pLine = 21, pColumn = 7}, sEnd = Position {pLine = 21, pColumn = 64}}, metaAnnotations = []}),FunctionCallFrame (Var {unVar = Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = []}, nIsGenerated = False, nOccName = OccName {onNamespace = VarNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = VarName, onUnqualified = ""testDefaultSecurityPolicy""}}}) (Metadata {metaSnippet = Snippet {sModulePointer = ModulePointer {mpName_ = ModuleName {unModuleName = []}, mpPrettyPath_ = ""tests/unit/TestListener.lw"", mpCanonicalPath_ = ""/Users/chris/src/fugue/fugue-aws/tests/unit/TestListener.lw""}, sStart = Position {pLine = 29, pColumn = 3}, sEnd = Position {pLine = 29, pColumn = 29}}, metaAnnotations = []})]})},Val {unVal = RefV (Name {nScope = ToplevelScope, nModuleName = ModuleName {unModuleName = []}, nIsGenerated = True, nOccName = OccName {onNamespace = VarNamespace, onModuleAlias = ModuleAlias {unModuleAlias = ModuleName {unModuleName = []}}, onKind = VarName, onUnqualified = ""$heap$178""}})}]}
{noformat}

We should avoid this by removing the {{Show}} instance and consistently using {{Pretty}} everywhere.

This ticket also includes fixing pretty-printing of {{Val}} so that the output is valid (and readable) Ludwig.  That will allow us to have a {{-s normalize}} backend which prints the evaluated, normalized Ludwig.",,jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,Toolchain Team,,,,2|hzytuu:000000r0000000011zzzzv,,,Sprint 29,,,,,3.0,,,Not started,,,,,,,,,,,,,,,,,
Bugfix: Vars System Not In Conductor Stats,FUGUE-5291,33203,,Task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,eric,eric,07/Apr/17 9:51 AM,01/May/17 9:43 AM,09/May/17 6:48 PM,,,,,,0,sprint29,,,,"When we started running multiple vars daemons on the conductor this broke how process metrics were collected for Vars. Conductor stats knows to look for a process named vars, but only selects one to report on (lowest pid). Which means that one of the two daemons aren't being reported. We need to update conductor stats to be able to handle this situation so we can get the metrics we need.",,eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000011zzzzzzzx,,,Sprint 29,,,,,5.0,,,Not started,,"10/Apr/17 10:01 AM;eric;to get this to work properly, we may need to do a bit of work to conductor stats, going to conservatively estimate this at a 5",,,,,,,,,,,,,,,
High level interface for managing ECS tasks on a cluster,FUGUE-5292,33204,32204,Sub-task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,chrisg,chrisg,07/Apr/17 10:22 AM,03/May/17 4:24 PM,09/May/17 6:48 PM,,,,,,0,,,,,Build a fugue-aws style interface to managing ECS tasks on a cluster (managing clusters themselves will be handled on another issue). This should include support for integration with ELB and ECR (if possible).,,chrisg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,2|i009im:,,,Sprint 28,Sprint 29,,,,,,,Not started,,,,,,,,,,,,,,,,,
Pattern library for provisioning ECS clusters,FUGUE-5294,33206,32204,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,chrisg,chrisg,07/Apr/17 10:24 AM,25/Apr/17 11:02 AM,09/May/17 6:48 PM,,,,,,0,,,,,"Write a {{Fugue.AWS.Pattern.Network}} style library for provisioning ECS clusters. Should be flexible enough to be generally useful, but is also free to be opiniotated where it simplifies things.

Note that use of ECS support should not require the use of this library, it's more a convenience for use with our own testing and in examples. User's should be free to provision a cluster in whatever manner best suits their needs.",,chrisg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,2|i009iu:,,,Sprint 28,Sprint 29,,,,,,,Not started,,25/Apr/17 11:02 AM;chrisg;Include a pre-defined versions of the minimal ECS container instance role and policy for convienence: http://docs.aws.amazon.com/AmazonECS/latest/developerguide/instance_IAM_role.html,,,,,,,,,,,,,,,
Help integrate Scheduler client changes into demarc,FUGUE-5297,33209,30611,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,joshe,joshe,07/Apr/17 10:48 AM,10/Apr/17 11:33 AM,09/May/17 6:48 PM,,,,,,0,,,,,Demarc will need to pass the new enforcement configuration command from the CLI to the Scheduler via the Scheduler client.,,joshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i009ji:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Scheduler to pass Job Type and Enforcement Level in outgoing Jobs,FUGUE-5299,33212,30611,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,joshe,joshe,07/Apr/17 10:59 AM,10/Apr/17 11:35 AM,09/May/17 6:48 PM,,,,Scheduler,,0,,,,,"The Job Type as maintained by the Scheduler should be included in outgoing Jobs (for eventual consumption by the Broker), in addition to the new field ""enforcement level""",,joshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i009k6:,,,Sprint 29,,,,,,,,Not started,,"07/Apr/17 11:05 AM;joshe;After the manager client is updated, add {{data.job_type}} to [this method call|https://github.com/LuminalHQ/fugue-scheduler/blob/develop/scheduler/jobs.py#L221-L222]",,,,,,,,,,,,,,,
Manager to accept and pass Job Type and Enforcement Level,FUGUE-5300,33213,30611,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,joshe,joshe,07/Apr/17 11:00 AM,10/Apr/17 11:36 AM,09/May/17 6:48 PM,,,,Planners,,0,,,,,"Job Type and Enforcement Level will be added to all Scheduler Jobs, and needs to be read and included in outgoing Plans to the Broker.

This includes updating the python manager client, the manager's incoming Job struct, and the outgoing Plan struct.",,joshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i009ke:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Bugfix: Fugue kill errors,FUGUE-5312,33228,,Task,Cannot Reproduce,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,danthemyth,ankush,ankush,07/Apr/17 7:23 PM,03/May/17 9:58 AM,09/May/17 6:48 PM,,,,,,0,sprint29,,,,"Running into 2 issues with fugue kill for 2 processes that have run into error state.  webapp1 error was due to a bug reported by Chris C in https://luminal.atlassian.net/browse/FUGUE-5310

fugue kill for webapp1 does not kill the process. It has been in that state since 1 PM EST. 

fugue kill PAN1 does not find the process even though `fugue status` returns the process name. I also cannot create another process with that name.

ami: ami-fe9b5ce8
Fugue CLI Version: 1.0.3-2016-506a18a76db7c4377577292e89ccdc6344a72eca
VARs Version: 1.0.0-1983-38519039e173a5683206032d44ae769956fb9f81
LWDoc Version: 0.19.0
LWC Version: 0.19.0 

897926356418/fugue_report-2017-04-07-23-12-00.zip",,ankush,danthemyth,wayne,,,,,,,,,,,,10/Apr/17 10:22 AM;ankush;2017-04-10_1022.png;https://luminal.atlassian.net/secure/attachment/28200/2017-04-10_1022.png,07/Apr/17 7:12 PM;ankush;Fugue Kill Error.png;https://luminal.atlassian.net/secure/attachment/28105/Fugue+Kill+Error.png,02/May/17 3:04 PM;ankush;MyWebApp.lw;https://luminal.atlassian.net/secure/attachment/28815/MyWebApp.lw,02/May/17 2:40 PM;ankush;PAN_Plain.lw;https://luminal.atlassian.net/secure/attachment/28814/PAN_Plain.lw,,,,,,,,,,,,,{},,,,,1.0,1.0.3-2016-506a18a76db7c4377577292e89ccdc6344a72eca,,LRT Team,,,,2|hzytuu:000000r00000000009,,,Sprint 29,,,,,5.0,,,Not started,2017-04-10 10:48:25.478,07/Apr/17 7:36 PM;ankush;PAN1 process finally ended itself after an hour,"10/Apr/17 10:37 AM;ankush;Created a new process Friday evening and then executed the Kill command for it Friday night at 10:41. Checked the status and the process was still in ""Killing"" state. 2017-04-10_1022.png is the error.

I had to delete the SG for the VPC manually and then the Conductor went in and deleted the VPC and finally the process.  

Updated Log file from past 1 hour 897926356418/fugue_report-2017-04-10-14-24-51.zip ","10/Apr/17 10:48 AM;wayne;First thing that came to mind when I saw DependencyViolation and ""had to manually delete security group"" was this ticket FUGUE-4740 where I had to manually terminate an instance in order for the conductor to finish tearing down a process because the auto scaling group was stuck in ""(Deleting...)"". We may have another situation in which the conductor issues a delete command for a piece of infrastructure but AWS does not successfully perform a delete and the conductor does not try again. I called this a ""blind spot"" issue. ","10/Apr/17 10:49 AM;wayne;The Fugue Kill error png from a couple days ago points to invalid parameters for an aurora call.

Ankush is using the current public release.

Assigning to LRT.","02/May/17 4:25 PM;danthemyth;Just some notes:

PAN1 from screenshots, FID dc18d3ef-7747-4a06-8768-f461c9c4a5f does not appear in logs. The first screen shot shows an error regarding invalid parameter combination which is expected. The second screenshot shows failure to delete vpc because of a lingering security group. Without logs - it's difficult to pin down what exactly is blocking the SG. Ankush uploaded PAN_Plain.lw for the alias PAN1. Can't repo on current artifacts. As Wayne mentioned, there's no ASG so it's not an exact fit for FUGUE-4740.

webapp1, FID 36332fb2-8cb7-45f4-8eca-e9eab8b02eec - note from description links it to FUGUE-5310 but Ankush's MyWebApp1.lw composition doesn't have print statements currently. I was able to run & kill using current artifacts without issue.

","02/May/17 4:31 PM;ankush;Dan, are there more log files needed besides the one I uploaded (897926356418/fugue_report-2017-04-07-23-12-00.zip)? ",02/May/17 4:48 PM;danthemyth;Ankush pointed out there's a second set of logs in a comment which does contain dc18d3ef-7747-4a06-8768-f461cf9c4a5f (PAN1).,"02/May/17 5:22 PM;danthemyth;Unfortunately that second set of logs only covers a period of time where the dependencyviolation error is currently happening and not calls leading up to it. Logs that began at the composition start time, 1491608399 (Fri Apr  7 19:39:59 EDT 2017), might reveal more (almost 3 days of logs - wowee).",,,,,,,,
CLI command to let a user disable enforcement for a process,FUGUE-5315,33301,30744,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,eric,eric,10/Apr/17 10:37 AM,10/Apr/17 10:37 AM,09/May/17 6:48 PM,,,,,,0,,,,,"add a new valid process property called ""enforcement"" to the cli. It should be settable, gettable, and displayed in the process status if it is set.",,eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|i009p2:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
"Ensure demarc core will support setting, getting, and status display of ""enforcement"" property of a process",FUGUE-5316,33302,30744,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,eric,eric,10/Apr/17 10:38 AM,10/Apr/17 10:38 AM,09/May/17 6:48 PM,,,,,,0,,,,,,,eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|i009pa:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
"Handle set, get, and status in demarc with new ""enforcement"" property",FUGUE-5317,33303,30744,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,eric,eric,10/Apr/17 10:39 AM,10/Apr/17 10:39 AM,09/May/17 6:48 PM,,,,,,0,,,,,mock out calling the scheduler if work on this starts before scheduler/backend work has completed.,,eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|i009pi:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Coordinate with LRT and replace any mocking with real calls to the backend.,FUGUE-5318,33304,30744,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,eric,eric,10/Apr/17 10:39 AM,10/Apr/17 10:39 AM,09/May/17 6:48 PM,,,,,,0,,,,,,,eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|i009pq:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Update Scheduler to accept and store Enforcement Level per process,FUGUE-5319,33305,30611,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,joshe,joshe,10/Apr/17 11:42 AM,10/Apr/17 11:42 AM,09/May/17 6:48 PM,,,,Scheduler,,0,,,,,"1. Add set enforcement level to {{set_property}} Signal Handler
2. Update data definition for {{ProcessData}} to include new enforcement level field
3. Enforcement Level set to default level of ""on"" when a Process is created",,joshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i009py:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Update Scheduler client to accept new property,FUGUE-5320,33306,30611,Sub-task,To Do,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,,joshe,joshe,10/Apr/17 11:52 AM,10/Apr/17 11:52 AM,09/May/17 6:48 PM,,,,,,0,,,,,"Validation for {{Command.set_property}} should accept new Property for ""Enforcement Level""

Needs to be updated in Scheduler client and Scheduler server",,joshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,LRT Team,,,,2|i009q6:,,,Sprint 29,,,,,,,,Not started,,,,,,,,,,,,,,,,,
Enable client side encryption for VARS daemon LVS-pro,FUGUE-5324,33310,,Task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,achintya,wayne,wayne,10/Apr/17 2:17 PM,09/May/17 4:53 PM,09/May/17 6:48 PM,,,,VARS,,0,EndOf28,,,,"In VARS v3, large value support for items that will be stored in s3 are encrypted with SSE and not with client side (VARS) encryption as in previous versions. This task is to:

- Re-enable client side encryption in VARS. This means ALL values sent to VARS with the encryption flag on will be encrypted by VARS
- If a value is going to be placed in S3 (meaning it's a large value) and has the encryption flag on, it should ALSO be encrypted by S3 with SSE
- Assess if any pyvars updates are required.

The goal here is to ensure all values where encryption is desired to be encrypted with VARS. Additionally, we want to enable the provider-supported encryption for data storage which gives more security around sensitive data. 
",,achintya,wayne,,,,,,,,FUGUE-4923,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,CloudOS Team,,,,2|hzytuu:000000r0000000005,,,Sprint 28,Sprint 29,,,,8.0,,,Not started,2017-04-26 10:30:24.609,10/Apr/17 2:20 PM;wayne;This also means we won't need to decrypt all existing LVS-lite values during any VARS migration scripts.,"26/Apr/17 10:30 AM;achintya;Status Update:
It is impossible to calculate the HMAC for a large value while streaming it. This is because we would have to calculate the HMAC over the whole file value and we'll have to hold the transmission of the large value to the caller while we verify the HMAC. All of this means that we have to switch the encryption scheme from CTR to GCM mode. We'd also have to switch out to the GCM mode for small values too. 
Once the switch of the mode is complete we'd have to update the migration script to decrypt using the old scheme and encrypt using the new scheme.","26/Apr/17 1:50 PM;achintya;It turns out that GCM mode is also not suitable for streaming encryption. http://stackoverflow.com/a/39380108
Since this is where we are the only viable recourse is that we split up the large value into smaller chunks which can be verified and streamed. This would work as follows:
1. The large value will be stored in parts. There would be a `HEADER` object. 
   a. This header object would be encrypted by vars and it's HMAC would be in vars' DDB table
   b. This header object would contain the list of parts of the large object and their HMACs as key-value pair. For ex:
       1:SDJFJSDHFKJHDFKJSDH
       2:OPOIPOIPOIPOIPOIQIL
       ...
   c. This header would be created during `vars put` and used to authenticate each chunk during `vars get`
   
2. Instead of sticking the whole file at the calculated hash we start writing the file in chunks (need to figure out the right size of this chunk but I'm thinking something around 20 MB).
   Once a chunk has been created the HEADER file is updated with the chunk number and HMAC
3. When a `vars get` request is received then the daemon goes to the folder and decrypts the HEADER file to get the info on chunks
4. The daemon then gets each chunk, authenticates, decrypts and streams it to the client in order. 
5. All of this will remain transparent to the client but would mean considerable bookkeeping at the daemon's end.","27/Apr/17 6:35 PM;achintya;Status update:
Got the basic chunking of large values working for upload. Will start on download tomorrow.","28/Apr/17 4:15 PM;achintya;[~nate], [~tyler], [~wayne] and [~achintya] met to discuss the sharding in S3 and decided on the following large value scheme:
https://luminal.atlassian.net/wiki/display/PE/Vars+Large+Value+Support+Scheme",01/May/17 2:43 PM;wayne;There's an open PR that will need to be updated for migration https://github.com/LuminalHQ/fugue-vars-cleaner/pull/5,"03/May/17 1:02 AM;achintya;Status update:
Finished with the deletion utility for S3. We now have rollback for failed uploads. Also wrote tests for the same. The deletion part is needed for when uploads fail due to size or when there's a consistency issue (CAS updates). We'll also need the deletion for vacuuming. 
Things pending for `vars put` for large uploads are:
1. Checking for version updates during CAS updates for large value.
2. Writing tests for encryption pipeline. I spent some time figuring out how to do this but couldn't finish it. Might have to refactor code for mocking encryption pipeline (wrapped keys etc)","03/May/17 1:06 AM;achintya;Also, [~chrisg] [~eric] and [~achintya] met to discuss the consistency model for large value. The confluence document https://luminal.atlassian.net/wiki/display/PE/Vars+Large+Value+Support+Scheme has been updated with the outcome of the meeting. This information is under (4) (d) in the document mentioned above.","06/May/17 12:39 AM;achintya;Status update:
Finished with the download and upload. Wrote tests for each. Ran into a minor issue. I was storing the IV at the beginning of the stream so that would go into the first chunk. This would need to change since the IV being in the encrypted data would cause the HMAC to fail. I'm going to store the IV in the header instead.  ","09/May/17 4:53 PM;achintya;Status update:
I found a bug in the design of the backend so fixing that right now. The problem is that we were updating the status of large value operation and would dump stuff like ""uploading"" and ""hashing"" in the DDB table while we were uploading the large value to S3. This caused the encryption to fail since this would throw the version of the item in DDB out of sync (since the publishing of the status would change the versioning). Took me whole day to figure this out. Was trying to upload and download an ubuntu disk image with encryption and that's where this occured. Would be removing the update-status thing now.
PS: This update-status thing was to be deleted anyway with the new design. So this does not impact the final outcome. We could have kept it if weren't doing encryption on our end too but with the new encryption scheme coming in we have to remove the status updater.",,,,,,
Create a job to perform a nightly develop artifacts,FUGUE-5325,33312,,Story,Done,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,danthemyth,tyler,tyler,10/Apr/17 5:03 PM,03/May/17 11:11 AM,09/May/17 6:48 PM,,,,,,0,EndOf28,,,,"h2. Conductor

We need a job that will automatically create an annotate a develop AMI using all develop components. The final AMI should be annotated as a develop artifact when it is created.

h2. Client

We need code that is able to retrieve the latest develop client artifact (I believe this is just an artifactory URL).
",,tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,FUGUE-5322,,,3.0,,,LRT Team,,,,2|hzytuu:000000r00000000006i,,,Sprint 28,Sprint 29,,,,2.0,,,Not started,,,,,,,,,,,,,,,,,
Generate worker functions to speed up named parameters,FUGUE-5349,33442,,Task,In Progress,FUGUE,Fugue Product,software,nate,Fugue Product Project,,High,,jasper,jasper,jasper,12/Apr/17 7:40 AM,01/May/17 9:30 AM,09/May/17 6:48 PM,,,,Ludwig Language & Compiler,,0,EndOf28,ludwig_performance,,,"If you have a named function:

{noformat}
fun foo{k: Int, l: String} -> String:
    BODY
{noformat}

And you call this function:

{noformat}
bar: foo {k: 1, l: ""Hello""}
{noformat}

Let's step through what happens.

# Create an empty object  {{args: \{\}}} .
# Set the field  {{k}}  to  {{1}}  and then the field  {{l}}  to  {{""Hello""}} 
# Enter the function  {{foo}} . Inside,  {{foo}} :
# Take the field  {{args.k}}  and assign it to  {{k}} . Same for  {{l}} .
# Evaluate the function body.

This ends up creating a lot of temporary object which we don't _really_ need. We should generate worker functions, e.g.:

{noformat}
fun foo$worker(k: Int, l: String) -> String:
    BODY

fun foo{k: Int, l: String} -> String:
    foo$worker(k, l)
{noformat}

Then, we detect a call to with named arguments to  {{foo}} , e.g.:

{noformat}
bar: foo {k: 1, l: ""Hello""}
{noformat}

We inline the worker:

{noformat}
bar: foo$worker(1, ""Hello"")
{noformat}

This avoids creating any sort of temporary object. This optimisation of course only works when:

* It's a call to a _known_ function (no lambdas)
* All the arguments are known, e.g. we don't have  {{foo\(args with \{k: 2\}\)}} 

This applies to most of code though, so should be a good improvement.

I am estimating this rather high because there are some things we need to be careful about, such as not messing up free variables, naming, stack traces...
",,jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,Toolchain Team,,,,2|i009yu:,,,Sprint 28,Sprint 29,,,,13.0,,,Not started,,,,,,,,,,,,,,,,,
